id_pdv;id_sku;fecha_min;fecha_max;anio_semana_min;anio_semana_max;count_nonzero;sum_cantidad;fecha;anio_semana;cantidad;cantidad_neta;cantidad_bruta;venta;venta_neta;venta_bruta;volumen_neto;volumen_bruto;precio
613197;4464;09/10/2021;09/10/2021;202140;202140;1;1;09/10/2021;202140;1;1;1;50.00;50.00;50.00;0.432;0.432;50.00
613326;4464;08/10/2021;08/10/2021;202140;202140;1;2;08/10/2021;202140;2;2;2;97.80;97.80;97.80;0.864;0.864;48.90
613597;2749;09/10/2021;30/10/2021;202140;202143;2;6;09/10/2021;202140;3;3;3;128.70;128.70;128.70;1.500;1.500;42.90
613856;975;30/09/2021;07/10/2021;202139;202140;1;300;06/10/2021;202140;300;300;300;5490.00;5490.00;5490.00;79.800;79.800;18.30
613856;975;30/09/2021;07/10/2021;202139;202140;1;300;07/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
614188;384;04/10/2021;11/10/2021;202140;202141;2;7;04/10/2021;202140;5;5;5;286.45;286.45;286.45;2.250;2.250;57.29
614189;384;01/10/2021;14/10/2021;202139;202141;1;8;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
614190;384;07/10/2021;07/10/2021;202140;202140;1;10;07/10/2021;202140;10;10;10;572.90;572.90;572.90;4.500;4.500;57.29
614190;975;30/09/2021;07/10/2021;202139;202140;2;10;07/10/2021;202140;5;5;5;117.60;117.60;117.60;1.330;1.330;23.52
614190;4464;30/09/2021;07/10/2021;202139;202140;2;4;07/10/2021;202140;2;2;2;92.60;92.60;92.60;0.864;0.864;46.30
614191;384;09/10/2021;09/10/2021;202140;202140;1;2;09/10/2021;202140;2;2;2;114.58;114.58;114.58;0.900;0.900;57.29
614191;975;09/10/2021;09/10/2021;202140;202140;1;5;09/10/2021;202140;5;5;5;117.60;117.60;117.60;1.330;1.330;23.52
614218;384;02/10/2021;09/10/2021;202139;202140;2;9;09/10/2021;202140;5;5;5;286.45;286.45;286.45;2.250;2.250;57.29
614218;975;02/10/2021;09/10/2021;202139;202140;2;10;09/10/2021;202140;5;5;5;117.60;117.60;117.60;1.330;1.330;23.52
614218;2741;02/10/2021;04/10/2021;202139;202140;1;8;04/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
614218;4464;02/10/2021;09/10/2021;202139;202140;2;6;09/10/2021;202140;4;4;4;185.20;185.20;185.20;1.728;1.728;46.30
614742;2749;08/10/2021;08/10/2021;202140;202140;1;1;08/10/2021;202140;1;1;1;42.90;42.90;42.90;0.500;0.500;42.90
614792;4464;06/10/2021;06/10/2021;202140;202140;1;1;06/10/2021;202140;1;1;1;48.90;48.90;48.90;0.432;0.432;48.90
614963;4464;05/10/2021;05/10/2021;202140;202140;1;2;05/10/2021;202140;2;2;2;100.00;100.00;100.00;0.864;0.864;50.00
615054;975;07/10/2021;07/10/2021;202140;202140;1;2;07/10/2021;202140;2;2;2;36.60;36.60;36.60;0.532;0.532;18.30
615057;975;04/10/2021;04/10/2021;202140;202140;1;5;04/10/2021;202140;5;5;5;91.50;91.50;91.50;1.330;1.330;18.30
615060;975;06/10/2021;06/10/2021;202140;202140;1;3;06/10/2021;202140;3;3;3;54.90;54.90;54.90;0.798;0.798;18.30
615062;975;30/09/2021;07/10/2021;202139;202140;2;20;07/10/2021;202140;10;10;10;183.00;183.00;183.00;2.660;2.660;18.30
646431;384;02/10/2021;09/10/2021;202139;202140;2;9;09/10/2021;202140;6;6;6;343.74;343.74;343.74;2.700;2.700;57.29
652751;975;02/10/2021;09/10/2021;202139;202140;2;3;09/10/2021;202140;2;2;2;36.60;36.60;36.60;0.532;0.532;18.30
653590;4464;06/10/2021;06/10/2021;202140;202140;1;1;06/10/2021;202140;1;1;1;50.00;50.00;50.00;0.432;0.432;50.00
656964;4464;09/10/2021;09/10/2021;202140;202140;1;1;09/10/2021;202140;1;1;1;50.00;50.00;50.00;0.432;0.432;50.00
662471;2749;09/10/2021;30/10/2021;202140;202143;4;13;09/10/2021;202140;4;4;4;171.60;171.60;171.60;2.000;2.000;42.90
